# Forces          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            forces(pressure viscous porous)	moments(pressure viscous porous)
0                 	((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (1.6814912515e-03 1.1863976545e-04 1.1878792704e-23) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (-5.9319882724e-08 8.4074562574e-07 -5.4765735870e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.002             	((7.9914751944e-03 2.4384275714e-02 1.4402639402e-21) (7.8948840092e-04 -1.4059732307e-04 6.3478639910e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-1.2192137857e-05 3.9957375972e-06 -1.8244554047e-04) (7.0298661537e-08 3.9474420046e-07 -2.7072381819e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.004             	((-3.2599065766e-03 -1.0332839296e-02 2.5338905740e-21) (3.3258129884e-04 -6.8865229254e-05 7.8730540204e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((5.1664196482e-06 -1.6299532883e-06 5.5832718195e-05) (3.4432614627e-08 1.6629064942e-07 -1.1364137825e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.006             	((3.4274020226e-04 1.1420020547e-03 2.3357432505e-23) (2.7484014893e-04 -3.9339442900e-05 8.8137835819e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-5.7100102733e-07 1.7137010113e-07 -2.5430335689e-05) (1.9669721450e-08 1.3742007447e-07 -9.3923642954e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.008             	((-6.1272332249e-04 -1.9558353583e-03 1.2288117574e-21) (2.1171461989e-04 -2.9908455008e-05 4.7460978465e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((9.7791767915e-07 -3.0636166124e-07 6.0874229640e-07) (1.4954227504e-08 1.0585730995e-07 -7.2247497044e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.01              	((-1.8199856018e-04 -4.9926179749e-04 9.1701343447e-23) (1.9265920057e-04 -2.2040214887e-05 7.1675830385e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((2.4963089875e-07 -9.0999280092e-08 -1.0371057640e-05) (1.1020107444e-08 9.6329600286e-08 -6.5706501293e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.012             	((-3.2319512926e-04 -1.0155096980e-03 -2.8092685856e-22) (1.7192092035e-04 -1.6789011310e-05 6.1987230702e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((5.0775484898e-07 -1.6159756463e-07 -5.5375526473e-06) (8.3945056548e-09 8.5960460176e-08 -5.8588208337e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.014             	((-2.4890559671e-04 -7.6989672398e-04 -3.4315691296e-22) (1.5889741282e-04 -1.2416816229e-05 5.4161292033e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((3.8494836199e-07 -1.2445279836e-07 -7.2971219515e-06) (6.2084081146e-09 7.9448706410e-08 -5.4129752047e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.016             	((-2.6153573988e-04 -8.5805151886e-04 4.1801838015e-22) (1.4763781111e-04 -8.8648574839e-06 9.6970396254e-20) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.2902575943e-07 -1.3076786994e-07 -6.2376641763e-06) (4.4324287419e-09 7.3818905555e-08 -5.0276406635e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.018             	((-2.3712489503e-04 -8.2985496344e-04 3.8239258924e-22) (1.3893482599e-04 -5.8968812644e-06 -2.3964284149e-19) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.1492748172e-07 -1.1856244752e-07 -6.4224263829e-06) (2.9484406322e-09 6.9467412993e-08 -4.7306727928e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.02              	((-2.2594504425e-04 -8.6066833826e-04 3.1608137223e-22) (1.3159678322e-04 -3.3556019065e-06 3.7162979311e-19) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.3033416913e-07 -1.1297252212e-07 -6.0631010925e-06) (1.6778009533e-09 6.5798391608e-08 -4.4805040346e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.022             	((-2.0695847503e-04 -8.9275503375e-04 4.0457951774e-22) (1.2556312280e-04 -1.1972461024e-06 -2.4917094511e-19) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.4637751688e-07 -1.0347923752e-07 -5.8954207909e-06) (5.9862305119e-10 6.2781561398e-08 -4.2748666554e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.024             	((-1.8903009569e-04 -9.3781679945e-04 -2.1111776915e-23) (1.2048379394e-04 6.7187812517e-07 3.6712854357e-19) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.6890839973e-07 -9.4515047846e-08 -5.5868185975e-06) (-3.3593906257e-10 6.0241896969e-08 -4.1015459532e-06) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
