# Residuals       
# Time            	p                 	Ux                	Uy                	nut               	nuTilda           
0                 	N/A	N/A	N/A	N/A
0.002             	1.0000000000e+00	9.9999988910e-01	1.0000000000e+00	N/A	9.9999999935e-01
0.004             	5.3266448082e-01	1.6822459549e-01	6.2398434697e-02	N/A	2.2181960624e-02
0.006             	5.1622345753e-01	3.2398976300e-02	1.6412501303e-02	N/A	8.7462025321e-03
0.008             	5.3258504029e-01	8.5660960969e-03	3.5189975027e-03	N/A	6.1208105869e-03
0.01              	4.0073083378e-01	4.4224460507e-03	1.8546824161e-03	N/A	4.9697167413e-03
0.012             	3.8024651045e-01	5.3890622902e-03	1.8087166182e-03	N/A	4.3330900674e-03
0.014             	3.6944837317e-01	5.2497697407e-03	1.4977752073e-03	N/A	3.8985944585e-03
0.016             	3.6893666568e-01	5.8201584077e-03	1.4472141006e-03	N/A	3.5903806567e-03
0.018             	3.6272725885e-01	6.1230497745e-03	1.3418682694e-03	N/A	3.3518916492e-03
0.02              	3.6499766631e-01	6.6482089784e-03	1.2849844449e-03	N/A	3.1603933639e-03
0.022             	3.6174061150e-01	6.8337177669e-03	1.2299612044e-03	N/A	2.9965022823e-03
0.024             	3.6213930664e-01	7.1357675455e-03	1.1930694117e-03	N/A	2.8584693422e-03
